Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220513:1530,530.72,213.63,14.39,65.28,21.05,1.1,0.0
20220513:1630,515.7,204.52,15.52,76.42,22.11,0.83,0.0
20220513:1730,459.35,180.01,13.81,76.43,22.67,0.69,0.0
20220513:1830,101.62,257.91,7.66,65.29,22.7,0.41,0.0
20220513:1930,135.94,272.41,8.05,51.77,21.15,0.34,0.0
20220513:2030,90.11,215.39,5.78,37.71,21.15,0.76,0.0
20220513:2130,44.24,94.07,2.44,23.5,20.77,0.48,0.0
20220513:2230,0.0,31.83,0.78,9.28,20.04,0.34,0.0
20220513:2330,0.0,0.0,0.0,-4.86,19.64,0.28,0.0
20220514:0030,0.0,0.0,0.0,0.0,19.06,0.48,0.0
20220514:0130,0.0,0.0,0.0,0.0,18.64,0.34,0.0
20220514:0230,0.0,0.0,0.0,0.0,18.35,0.48,0.0
20220514:0330,0.0,0.0,0.0,0.0,17.73,0.48,0.0
20220514:0430,0.0,0.0,0.0,0.0,17.68,0.41,0.0
20220514:0530,0.0,0.0,0.0,0.0,17.69,0.41,0.0
20220514:0630,0.0,0.0,0.0,0.0,17.39,0.41,0.0
20220514:0730,0.0,0.0,0.0,0.0,16.73,0.55,0.0
20220514:0830,0.0,0.0,0.0,0.0,16.71,0.55,0.0
20220514:0930,0.0,0.0,0.0,0.0,16.7,0.41,0.0
20220514:1030,0.0,0.0,0.0,-4.83,16.53,0.48,0.0
20220514:1130,0.0,32.12,0.78,9.28,16.31,0.48,0.0
20220514:1230,478.47,117.82,6.1,23.48,17.46,0.62,0.0
20220514:1330,552.53,146.73,9.57,37.67,19.58,0.76,0.0
20220514:1430,652.34,169.12,13.52,51.7,21.06,0.55,0.0
20220514:1530,546.26,214.43,14.67,65.18,22.46,0.55,0.0
20220514:1630,716.92,157.47,18.82,76.22,23.26,0.76,0.0
20220514:1730,414.55,250.06,14.32,76.22,24.17,1.03,0.0
20220514:1830,223.98,281.76,10.31,65.19,23.95,1.1,0.0
20220514:1930,33.12,200.79,5.05,51.71,20.98,1.03,0.0
20220514:2030,0.0,67.18,1.53,37.68,20.29,0.14,0.0
20220514:2130,0.0,79.87,1.82,23.49,19.68,0.62,0.0
20220514:2230,0.0,39.42,0.96,9.29,19.63,0.69,0.0
20220514:2330,0.0,0.0,0.0,-4.82,19.43,0.28,0.0
20220515:0030,0.0,0.0,0.0,0.0,18.63,0.34,0.0
20220515:0130,0.0,0.0,0.0,0.0,18.29,0.34,0.0
20220515:0230,0.0,0.0,0.0,0.0,17.86,0.55,0.0
20220515:0330,0.0,0.0,0.0,0.0,17.56,0.48,0.0
20220515:0430,0.0,0.0,0.0,0.0,17.22,0.34,0.0
20220515:0530,0.0,0.0,0.0,0.0,16.91,0.41,0.0
20220515:0630,0.0,0.0,0.0,0.0,16.53,0.55,0.0
20220515:0730,0.0,0.0,0.0,0.0,17.16,0.34,0.0
20220515:0830,0.0,0.0,0.0,0.0,17.2,0.41,0.0
20220515:0930,0.0,0.0,0.0,0.0,16.82,0.48,0.0
20220515:1030,0.0,0.0,0.0,-4.8,16.5,0.55,0.0
20220515:1130,0.0,36.02,0.88,9.3,16.28,0.55,0.0
20220515:1230,382.1,153.49,5.87,23.48,17.02,0.83,0.0
20220515:1330,589.54,198.67,10.85,37.65,19.21,0.62,0.0
20220515:1430,740.6,171.48,14.9,51.65,21.18,0.55,0.0
20220515:1530,552.31,226.34,15.01,65.08,22.68,0.14,0.0
20220515:1630,455.45,171.37,13.49,76.01,23.15,0.34,0.0
20220515:1730,391.69,202.06,12.79,76.02,23.07,0.62,0.0
20220515:1830,485.86,162.46,12.52,65.09,22.65,0.69,0.0
20220515:1930,378.15,179.67,9.59,51.66,22.55,0.48,0.0
20220515:2030,239.97,149.57,6.02,37.66,22.7,0.9,0.0
20220515:2130,68.33,102.06,2.77,23.49,19.96,0.62,0.0
20220515:2230,0.0,24.87,0.61,9.31,19.88,0.48,0.0
20220515:2330,0.0,0.0,0.0,-4.78,19.47,0.34,0.0
20220516:0030,0.0,0.0,0.0,0.0,19.01,0.28,0.0
20220516:0130,0.0,0.0,0.0,0.0,18.61,0.21,0.0
20220516:0230,0.0,0.0,0.0,0.0,18.22,0.41,0.0
20220516:0330,0.0,0.0,0.0,0.0,17.88,0.48,0.0
20220516:0430,0.0,0.0,0.0,0.0,17.42,0.48,0.0
20220516:0530,0.0,0.0,0.0,0.0,17.05,0.48,0.0
20220516:0630,0.0,0.0,0.0,0.0,16.87,0.48,0.0
20220516:0730,0.0,0.0,0.0,0.0,17.23,0.69,0.0
20220516:0830,0.0,0.0,0.0,0.0,16.93,0.76,0.0
20220516:0930,0.0,0.0,0.0,0.0,16.85,0.69,0.0
20220516:1030,0.0,0.0,0.0,-4.76,15.83,0.76,0.0
20220516:1130,0.0,46.67,1.14,9.31,15.59,0.76,0.0
20220516:1230,294.51,169.44,5.5,23.48,16.82,0.76,0.0
20220516:1330,324.22,235.52,8.55,37.62,18.98,0.55,0.0
20220516:1430,561.07,151.41,11.79,51.59,20.49,0.28,0.0
20220516:1530,691.83,173.86,16.52,64.97,22.02,0.34,0.0
20220516:1630,520.68,206.46,15.58,75.82,23.36,0.34,0.0
20220516:1730,637.08,167.94,17.25,75.83,23.72,0.28,0.0
20220516:1830,494.14,212.74,13.67,64.99,23.92,0.62,0.0
20220516:1930,177.44,261.05,8.37,51.61,21.88,0.28,0.0
20220516:2030,22.3,139.57,3.42,37.64,21.63,0.83,0.0
20220516:2130,26.06,77.29,1.95,23.49,20.5,0.76,0.0
20220516:2230,0.0,25.58,0.62,9.33,19.52,0.9,0.0
20220516:2330,0.0,0.0,0.0,-4.75,19.04,0.55,0.0
20220517:0030,0.0,0.0,0.0,0.0,18.75,0.34,0.0
20220517:0130,0.0,0.0,0.0,0.0,18.27,0.34,0.0
20220517:0230,0.0,0.0,0.0,0.0,18.4,0.28,0.0
20220517:0330,0.0,0.0,0.0,0.0,18.31,0.07,0.0
20220517:0430,0.0,0.0,0.0,0.0,18.1,0.21,0.0
20220517:0530,0.0,0.0,0.0,0.0,17.69,0.21,0.0
20220517:0630,0.0,0.0,0.0,0.0,17.3,0.07,0.0
20220517:0730,0.0,0.0,0.0,0.0,17.61,0.34,0.0
20220517:0830,0.0,0.0,0.0,0.0,17.47,0.55,0.0
20220517:0930,0.0,0.0,0.0,0.0,17.56,0.48,0.0
20220517:1030,0.0,0.0,0.0,-4.73,17.64,0.41,0.0
20220517:1130,0.0,36.61,0.89,9.33,17.64,0.28,0.0
20220517:1230,35.4,92.39,2.34,23.47,18.27,0.21,0.0
20220517:1330,33.24,140.27,3.56,37.59,19.05,0.34,0.0
20220517:1430,26.81,142.0,3.63,51.54,19.12,0.48,0.0
20220517:1530,28.07,200.34,5.07,64.87,19.28,0.62,0.0
20220517:1630,20.39,286.39,6.95,75.62,19.95,0.83,0.0
20220517:1730,52.85,331.51,8.63,75.63,20.69,0.76,0.0
20220517:1830,115.33,184.59,6.26,64.89,21.17,1.1,0.0
20220517:1930,68.29,225.8,6.1,51.56,19.66,1.24,0.0
20220517:2030,40.42,228.27,5.59,37.62,19.65,1.17,0.0
20220517:2130,16.1,112.34,2.66,23.5,19.52,0.97,0.0
20220517:2230,0.0,23.36,0.57,9.35,18.9,0.97,0.0
20220517:2330,0.0,0.0,0.0,-4.7,18.26,0.83,0.0
20220518:0030,0.0,0.0,0.0,0.0,17.53,0.69,0.0
20220518:0130,0.0,0.0,0.0,0.0,17.15,0.48,0.0
20220518:0230,0.0,0.0,0.0,0.0,17.17,0.34,0.0
20220518:0330,0.0,0.0,0.0,0.0,16.8,0.28,0.0
20220518:0430,0.0,0.0,0.0,0.0,16.78,0.21,0.0
20220518:0530,0.0,0.0,0.0,0.0,16.54,0.34,0.0
20220518:0630,0.0,0.0,0.0,0.0,16.43,0.14,0.0
20220518:0730,0.0,0.0,0.0,0.0,16.68,0.21,0.0
20220518:0830,0.0,0.0,0.0,0.0,16.44,0.21,0.0
20220518:0930,0.0,0.0,0.0,0.0,16.34,0.34,0.0
20220518:1030,0.0,0.0,0.0,-4.7,16.09,0.41,0.0
20220518:1130,0.0,37.91,0.93,9.33,16.0,0.34,0.0
20220518:1230,74.55,116.37,3.1,23.46,16.48,0.62,0.0
20220518:1330,189.96,225.04,6.97,37.56,17.59,0.14,0.0
20220518:1430,224.66,275.33,9.31,51.48,19.61,0.21,0.0
20220518:1530,312.42,352.9,13.31,64.76,20.84,0.41,0.0
20220518:1630,251.83,331.81,12.64,75.43,22.11,0.55,0.0
20220518:1730,167.37,373.51,11.86,75.45,22.73,0.55,0.0
20220518:1830,217.46,373.23,12.13,64.8,22.61,0.76,0.0
20220518:1930,103.71,261.78,7.37,51.52,21.76,0.83,0.0
20220518:2030,2.29,110.47,2.55,37.6,21.17,0.62,0.0
20220518:2130,0.88,63.09,1.45,23.5,20.33,0.14,0.0
20220518:2230,0.0,27.01,0.66,9.38,19.64,0.55,0.0
20220518:2330,0.0,0.0,0.0,-4.66,17.78,0.28,0.0
20220519:0030,0.0,0.0,0.0,0.0,17.44,0.48,0.0
20220519:0130,0.0,0.0,0.0,0.0,17.25,0.48,0.0
20220519:0230,0.0,0.0,0.0,0.0,17.11,0.28,0.0
20220519:0330,0.0,0.0,0.0,0.0,17.04,0.0,0.0
20220519:0430,0.0,0.0,0.0,0.0,16.92,0.34,0.0
20220519:0530,0.0,0.0,0.0,0.0,16.68,0.28,0.0
20220519:0630,0.0,0.0,0.0,0.0,16.62,0.34,0.0
20220519:0730,0.0,0.0,0.0,0.0,17.01,0.28,0.0
20220519:0830,0.0,0.0,0.0,0.0,16.82,0.34,0.0
20220519:0930,0.0,0.0,0.0,0.0,16.82,0.28,0.0
20220519:1030,0.0,0.0,0.0,-4.68,16.86,0.34,0.0
20220519:1130,0.0,27.51,0.67,9.34,16.82,0.28,0.0
20220519:1230,120.96,103.44,3.15,23.45,17.15,0.28,0.0
20220519:1330,281.04,173.0,6.91,37.53,18.01,0.41,0.0
20220519:1430,236.68,230.8,8.55,51.41,19.03,0.48,0.0
20220519:1530,247.28,247.06,9.94,64.65,19.82,0.62,0.0
20220519:1630,403.1,298.57,14.99,75.24,20.23,0.9,0.0
20220519:1730,412.45,341.55,16.1,75.27,21.08,0.9,0.0
20220519:1830,140.79,219.52,7.48,64.71,21.59,1.17,0.0
20220519:1930,72.4,271.17,7.15,51.47,20.73,0.9,0.0
20220519:2030,42.9,171.74,4.36,37.59,20.47,0.83,0.0
20220519:2130,23.54,71.56,1.8,23.51,19.55,0.83,0.0
20220519:2230,0.0,22.39,0.55,9.4,18.25,0.55,0.0
20220519:2330,0.0,0.0,0.0,-4.62,17.98,0.21,0.0
20220520:0030,0.0,0.0,0.0,0.0,17.23,0.28,0.0
20220520:0130,0.0,0.0,0.0,0.0,17.47,0.14,0.0
20220520:0230,0.0,0.0,0.0,0.0,17.51,0.21,0.0
20220520:0330,0.0,0.0,0.0,0.0,17.22,0.41,0.0
20220520:0430,0.0,0.0,0.0,0.0,17.17,0.34,0.0
20220520:0530,0.0,0.0,0.0,0.0,17.02,0.14,0.0
20220520:0630,0.0,0.0,0.0,0.0,16.96,0.21,0.0
20220520:0730,0.0,0.0,0.0,0.0,16.84,0.21,0.0
20220520:0830,0.0,0.0,0.0,0.0,16.65,0.28,0.0
20220520:0930,0.0,0.0,0.0,0.0,16.63,0.07,0.0
20220520:1030,0.0,0.0,0.0,-4.66,16.61,0.07,0.0
20220520:1130,0.0,31.7,0.77,9.34,16.51,0.28,0.0
20220520:1230,122.56,139.54,3.86,23.43,17.16,0.41,0.0
20220520:1330,313.17,215.75,8.06,37.49,18.48,0.55,0.0
20220520:1430,663.4,203.77,14.25,51.35,19.86,0.28,0.0
20220520:1530,465.55,242.29,13.69,64.55,21.46,0.34,0.0
20220520:1630,278.33,254.73,11.47,75.05,21.96,0.76,0.0
20220520:1730,181.52,272.92,9.9,75.09,21.39,1.1,0.0
20220520:1830,266.87,295.03,11.3,64.62,20.0,1.24,0.0
20220520:1930,119.04,191.08,6.05,51.43,21.18,0.69,0.0
20220520:2030,126.74,227.6,6.39,37.58,19.15,0.55,0.0
20220520:2130,22.11,54.28,1.41,23.51,19.78,0.69,0.0
20220520:2230,0.0,30.99,0.76,9.43,18.67,0.41,0.0
20220520:2330,0.0,0.0,0.0,-4.57,18.23,0.14,0.0
20220521:0030,0.0,0.0,0.0,0.0,18.01,0.21,0.0
20220521:0130,0.0,0.0,0.0,0.0,17.91,0.34,0.0
20220521:0230,0.0,0.0,0.0,0.0,17.87,0.34,0.0
20220521:0330,0.0,0.0,0.0,0.0,17.47,0.48,0.0
20220521:0430,0.0,0.0,0.0,0.0,17.01,0.55,0.0
20220521:0530,0.0,0.0,0.0,0.0,16.43,0.62,0.0
20220521:0630,0.0,0.0,0.0,0.0,16.09,0.62,0.0
20220521:0730,0.0,0.0,0.0,0.0,16.22,0.55,0.0
20220521:0830,0.0,0.0,0.0,0.0,16.05,0.48,0.0
20220521:0930,0.0,0.0,0.0,0.0,16.0,0.55,0.0
20220521:1030,0.0,0.0,0.0,-4.64,15.88,0.55,0.0
20220521:1130,0.0,40.93,1.0,9.34,15.55,0.62,0.0
20220521:1230,429.89,152.42,6.2,23.41,16.4,0.69,0.0
20220521:1330,464.44,199.45,9.41,37.45,19.12,0.83,0.0
20220521:1430,680.45,169.21,13.88,51.29,20.64,0.97,0.0
20220521:1530,612.11,176.45,15.01,64.44,22.11,0.9,0.0
20220521:1630,644.96,176.55,17.42,74.86,22.94,0.76,0.0
20220521:1730,458.63,234.68,14.74,74.92,23.6,0.48,0.0
20220521:1830,419.86,234.23,12.71,64.54,23.49,1.1,0.0
20220521:1930,128.45,233.32,7.09,51.39,22.83,0.83,0.0
20220521:2030,157.01,147.33,5.05,37.56,20.84,1.03,0.0
20220521:2130,40.81,66.93,1.83,23.52,20.33,0.21,0.0
20220521:2230,0.0,38.41,0.94,9.46,19.84,0.34,0.0
20220521:2330,0.0,0.0,0.0,-4.53,19.27,0.28,0.0
20220522:0030,0.0,0.0,0.0,0.0,18.74,0.14,0.0
20220522:0130,0.0,0.0,0.0,0.0,18.17,0.34,0.0
20220522:0230,0.0,0.0,0.0,0.0,17.72,0.55,0.0
20220522:0330,0.0,0.0,0.0,0.0,17.28,0.62,0.0
20220522:0430,0.0,0.0,0.0,0.0,17.03,0.62,0.0
20220522:0530,0.0,0.0,0.0,0.0,16.63,0.55,0.0
20220522:0630,0.0,0.0,0.0,0.0,16.29,0.55,0.0
20220522:0730,0.0,0.0,0.0,0.0,16.46,0.41,0.0
20220522:0830,0.0,0.0,0.0,0.0,16.03,0.41,0.0
20220522:0930,0.0,0.0,0.0,0.0,15.36,0.34,0.0
20220522:1030,0.0,0.0,0.0,-4.62,15.0,0.55,0.0
20220522:1130,0.0,43.61,1.07,9.34,14.5,0.55,0.0
20220522:1230,311.19,175.12,5.69,23.39,15.56,0.48,0.0
20220522:1330,492.16,231.29,10.25,37.41,18.6,0.48,0.0
20220522:1430,698.05,227.66,15.17,51.22,20.52,0.41,0.0
20220522:1530,835.01,140.38,18.4,64.33,22.36,0.21,0.0
20220522:1630,798.7,108.63,19.24,74.68,23.76,0.14,0.0
20220522:1730,620.5,164.48,16.63,74.75,24.44,0.28,0.0
20220522:1830,679.8,202.41,16.76,64.45,24.2,0.62,0.0
20220522:1930,363.77,233.98,10.42,51.36,21.56,0.9,0.0
20220522:2030,233.62,216.33,7.24,37.56,21.82,0.69,0.0
20220522:2130,45.39,125.89,3.13,23.54,20.64,0.9,0.0
20220522:2230,0.0,13.67,0.33,9.48,20.08,0.41,0.0
20220522:2330,0.0,0.0,0.0,-4.48,19.28,0.21,0.0
20220523:0030,0.0,0.0,0.0,0.0,18.98,0.62,0.0
20220523:0130,0.0,0.0,0.0,0.0,18.11,0.48,0.0
20220523:0230,0.0,0.0,0.0,0.0,17.74,0.07,0.0
20220523:0330,0.0,0.0,0.0,0.0,17.37,0.28,0.0
20220523:0430,0.0,0.0,0.0,0.0,17.34,0.48,0.0
20220523:0530,0.0,0.0,0.0,0.0,17.11,0.28,0.0
20220523:0630,0.0,0.0,0.0,0.0,16.62,0.21,0.0
20220523:0730,0.0,0.0,0.0,0.0,16.16,0.28,0.0
20220523:0830,0.0,0.0,0.0,0.0,16.06,0.28,0.0
20220523:0930,0.0,0.0,0.0,0.0,15.78,0.34,0.0
20220523:1030,0.0,0.0,0.0,-4.61,15.59,0.34,0.0
20220523:1130,0.0,40.97,1.0,9.34,15.4,0.14,0.0
20220523:1230,355.36,164.28,5.82,23.37,16.42,0.21,0.0
20220523:1330,517.4,206.75,10.11,37.37,19.11,0.21,0.0
20220523:1430,419.46,252.08,11.54,51.15,20.84,0.48,0.0
20220523:1530,579.87,273.69,16.31,64.22,21.76,0.41,0.0
20220523:1630,476.29,203.45,14.4,74.51,22.89,0.14,0.0
20220523:1730,446.55,260.91,15.0,74.59,22.77,0.55,0.0
20220523:1830,21.12,234.03,5.71,64.38,22.89,1.03,0.0
20220523:1930,0.0,135.98,3.11,51.32,20.07,0.62,0.0
20220523:2030,0.0,110.64,2.53,37.55,19.36,0.48,0.0
20220523:2130,4.48,95.36,2.21,23.55,19.54,0.76,0.0
20220523:2230,0.0,41.73,1.02,9.52,19.22,0.69,0.0
20220523:2330,0.0,0.0,0.0,-4.43,18.81,0.34,0.0
20220524:0030,0.0,0.0,0.0,0.0,18.22,0.14,0.0
20220524:0130,0.0,0.0,0.0,0.0,17.75,0.28,0.0
20220524:0230,0.0,0.0,0.0,0.0,17.46,0.21,0.0
20220524:0330,0.0,0.0,0.0,0.0,17.1,0.14,0.0
20220524:0430,0.0,0.0,0.0,0.0,16.61,0.21,0.0
20220524:0530,0.0,0.0,0.0,0.0,16.57,0.28,0.0
20220524:0630,0.0,0.0,0.0,0.0,16.73,0.41,0.0
20220524:0730,0.0,0.0,0.0,0.0,16.26,0.48,0.0
20220524:0830,0.0,0.0,0.0,0.0,16.19,0.62,0.0
20220524:0930,0.0,0.0,0.0,0.0,15.95,0.76,0.0
20220524:1030,0.0,0.0,0.0,-4.6,16.04,0.55,0.0
20220524:1130,0.0,35.6,0.87,9.33,15.82,0.41,0.0
20220524:1230,102.52,91.61,2.78,23.35,16.11,0.48,0.0
20220524:1330,58.52,94.92,2.83,37.33,17.6,0.41,0.0
20220524:1430,22.48,151.54,3.78,51.09,17.77,0.0,0.0
20220524:1530,2.34,197.03,4.54,64.11,18.66,0.41,0.0
20220524:1630,13.61,285.52,6.79,74.33,19.09,0.69,0.0
20220524:1730,43.58,335.0,8.51,74.44,19.79,0.76,0.0
20220524:1830,233.26,244.49,9.62,64.3,20.26,0.69,0.0
20220524:1930,301.95,214.06,9.13,51.29,21.52,0.69,0.0
20220524:2030,227.8,177.05,6.41,37.54,21.28,0.76,0.0
20220524:2130,26.44,107.0,2.6,23.57,20.8,0.41,0.0
20220524:2230,0.0,24.66,0.6,9.55,19.56,0.62,0.0
20220524:2330,0.0,0.0,0.0,-4.38,18.12,0.48,0.0
20220525:0030,0.0,0.0,0.0,0.0,17.66,0.28,0.0
20220525:0130,0.0,0.0,0.0,0.0,17.25,0.14,0.0
20220525:0230,0.0,0.0,0.0,0.0,16.99,0.21,0.0
20220525:0330,0.0,0.0,0.0,0.0,16.55,0.41,0.0
20220525:0430,0.0,0.0,0.0,0.0,16.33,0.34,0.0
20220525:0530,0.0,0.0,0.0,0.0,16.38,0.41,0.0
20220525:0630,0.0,0.0,0.0,0.0,15.97,0.48,0.0
20220525:0730,0.0,0.0,0.0,0.0,16.24,0.55,0.0
20220525:0830,0.0,0.0,0.0,0.0,16.08,0.34,0.0
20220525:0930,0.0,0.0,0.0,0.0,15.74,0.41,0.0
20220525:1030,0.0,0.0,0.0,-4.59,15.7,0.55,0.0
20220525:1130,0.0,29.82,0.73,9.32,15.29,0.83,0.0
20220525:1230,111.4,140.85,3.82,23.32,16.64,0.62,0.0
20220525:1330,389.07,220.59,8.93,37.29,18.22,0.76,0.0
20220525:1430,216.61,317.39,10.04,51.02,19.95,0.69,0.0
20220525:1530,325.73,374.39,13.91,64.01,21.2,0.69,0.0
20220525:1630,245.23,315.01,12.04,74.16,22.49,0.41,0.0
20220525:1730,231.01,359.53,12.74,74.29,22.78,0.0,0.0
20220525:1830,135.77,321.96,9.62,64.23,22.9,0.48,0.0
20220525:1930,94.26,294.94,7.96,51.27,22.41,0.48,0.0
20220525:2030,92.52,234.97,6.22,37.54,21.82,0.48,0.0
20220525:2130,43.91,111.93,2.82,23.58,20.75,0.28,0.0
20220525:2230,0.0,28.05,0.69,9.58,19.25,0.48,0.0
20220525:2330,0.0,0.0,0.0,-4.33,18.5,0.28,0.0
20220526:0030,0.0,0.0,0.0,0.0,18.41,0.28,0.0
20220526:0130,0.0,0.0,0.0,0.0,18.09,0.14,0.0
20220526:0230,0.0,0.0,0.0,0.0,17.84,0.41,0.0
20220526:0330,0.0,0.0,0.0,0.0,17.62,0.48,0.0
20220526:0430,0.0,0.0,0.0,0.0,17.47,0.28,0.0
20220526:0530,0.0,0.0,0.0,0.0,17.27,0.21,0.0
20220526:0630,0.0,0.0,0.0,0.0,17.08,0.34,0.0
20220526:0730,0.0,0.0,0.0,0.0,17.24,0.41,0.0
20220526:0830,0.0,0.0,0.0,0.0,17.08,0.34,0.0
20220526:0930,0.0,0.0,0.0,0.0,16.89,0.28,0.0
20220526:1030,0.0,0.0,0.0,-4.58,16.46,0.48,0.0
20220526:1130,0.0,37.83,0.92,9.31,16.47,0.48,0.0
20220526:1230,39.66,121.02,2.99,23.29,17.25,0.97,0.0
20220526:1330,190.35,222.2,6.89,37.24,18.2,0.69,0.0
20220526:1430,263.67,304.79,10.4,50.95,19.48,0.48,0.0
20220526:1530,212.77,338.79,11.26,63.9,20.77,0.41,0.0
20220526:1630,236.84,383.71,13.36,74.0,21.39,0.28,0.0
20220526:1730,154.98,342.31,10.85,74.14,22.29,0.48,0.0
20220526:1830,209.37,334.1,11.12,64.16,22.12,0.9,0.0
20220526:1930,45.38,211.36,5.45,51.24,21.62,0.97,0.0
20220526:2030,124.68,183.67,5.45,37.54,19.69,0.55,0.0
20220526:2130,97.58,110.47,3.14,23.6,20.08,0.07,0.0
20220526:2230,0.0,28.6,0.7,9.62,20.02,0.14,0.0
20220526:2330,0.0,0.0,0.0,-4.28,19.47,0.41,0.0
20220527:0030,0.0,0.0,0.0,0.0,18.12,0.41,0.0
20220527:0130,0.0,0.0,0.0,0.0,17.45,0.55,0.0
20220527:0230,0.0,0.0,0.0,0.0,17.15,0.48,0.0
20220527:0330,0.0,0.0,0.0,0.0,16.86,0.55,0.0
20220527:0430,0.0,0.0,0.0,0.0,16.65,0.48,0.0
20220527:0530,0.0,0.0,0.0,0.0,16.26,0.55,0.0
20220527:0630,0.0,0.0,0.0,0.0,15.87,0.48,0.0
20220527:0730,0.0,0.0,0.0,0.0,16.16,0.41,0.0
20220527:0830,0.0,0.0,0.0,0.0,16.0,0.41,0.0
20220527:0930,0.0,0.0,0.0,0.0,15.72,0.48,0.0
20220527:1030,0.0,0.0,0.0,-4.58,15.42,0.48,0.0
20220527:1130,0.0,38.41,0.94,9.3,14.97,0.62,0.0
20220527:1230,0.0,79.21,1.93,23.27,15.91,0.48,0.0
20220527:1330,594.04,163.55,10.25,37.19,19.0,0.34,0.0
20220527:1430,766.72,166.07,15.06,50.88,20.51,0.07,0.0
20220527:1530,645.97,194.08,15.86,63.79,22.09,0.14,0.0
20220527:1630,401.63,206.03,12.83,73.84,22.71,0.55,0.0
20220527:1730,430.78,272.06,14.84,74.0,22.57,0.83,0.0
20220527:1830,189.37,243.7,8.82,64.1,22.39,0.97,0.0
20220527:1930,43.35,227.54,5.79,51.22,20.37,0.48,0.0
20220527:2030,0.71,176.66,4.04,37.54,20.01,0.21,0.0
20220527:2130,60.0,115.54,3.0,23.62,19.71,0.28,0.0
20220527:2230,0.0,37.53,0.92,9.65,19.21,0.48,0.0
20220527:2330,0.0,0.0,0.0,-4.23,18.64,0.48,0.0
20220528:0030,0.0,0.0,0.0,0.0,17.85,0.55,0.0
20220528:0130,0.0,0.0,0.0,0.0,17.84,0.48,0.0
20220528:0230,0.0,0.0,0.0,0.0,17.31,0.34,0.0
20220528:0330,0.0,0.0,0.0,0.0,17.02,0.41,0.0
20220528:0430,0.0,0.0,0.0,0.0,16.87,0.41,0.0
20220528:0530,0.0,0.0,0.0,0.0,16.69,0.34,0.0
20220528:0630,0.0,0.0,0.0,0.0,16.53,0.34,0.0
20220528:0730,0.0,0.0,0.0,0.0,16.45,0.55,0.0
20220528:0830,0.0,0.0,0.0,0.0,16.2,0.62,0.0
20220528:0930,0.0,0.0,0.0,0.0,16.28,0.48,0.0
20220528:1030,0.0,0.0,0.0,-4.58,16.18,0.55,0.0
20220528:1130,0.0,29.19,0.71,9.28,16.2,0.62,0.0
20220528:1230,0.0,76.61,1.87,23.23,17.18,0.34,0.0
20220528:1330,106.43,156.2,4.67,37.14,18.4,0.28,0.0
20220528:1430,137.93,226.22,7.04,50.8,19.34,0.34,0.0
20220528:1530,209.37,292.91,10.2,63.69,20.38,0.28,0.0
20220528:1630,124.02,336.04,10.09,73.68,21.19,0.07,0.0
20220528:1730,118.31,265.92,8.42,73.87,21.62,0.34,0.0
20220528:1830,225.17,256.18,9.71,64.04,21.28,0.48,0.0
20220528:1930,85.43,231.13,6.44,51.2,20.23,0.69,0.0
20220528:2030,92.43,164.11,4.7,37.55,19.58,0.97,0.0
20220528:2130,47.64,105.38,2.7,23.64,19.26,0.69,0.0
20220528:2230,0.0,29.73,0.73,9.69,18.79,0.62,0.0
20220528:2330,0.0,0.0,0.0,-4.18,18.09,0.28,0.0
20220529:0030,0.0,0.0,0.0,0.0,17.46,0.28,0.0
20220529:0130,0.0,0.0,0.0,0.0,16.94,0.07,0.0
20220529:0230,0.0,0.0,0.0,0.0,16.52,0.21,0.0
20220529:0330,0.0,0.0,0.0,0.0,15.97,0.28,0.0
20220529:0430,0.0,0.0,0.0,0.0,15.63,0.48,0.0
20220529:0530,0.0,0.0,0.0,0.0,14.95,0.55,0.0
20220529:0630,0.0,0.0,0.0,0.0,14.36,0.62,0.0
20220529:0730,0.0,0.0,0.0,0.0,15.55,0.48,0.0
20220529:0830,0.0,0.0,0.0,0.0,15.36,0.55,0.0
20220529:0930,0.0,0.0,0.0,0.0,15.02,0.55,0.0
20220529:1030,0.0,0.0,0.0,-4.58,14.81,0.62,0.0
20220529:1130,0.0,34.47,0.84,9.26,14.56,0.62,0.0
20220529:1230,0.0,106.43,2.6,23.2,15.73,0.41,0.0
20220529:1330,579.69,170.07,10.17,37.09,18.09,0.41,0.0
20220529:1430,761.12,161.79,14.87,50.73,20.12,0.34,0.0
20220529:1530,672.26,191.28,16.25,63.58,21.81,0.48,0.0
20220529:1630,399.34,300.26,14.74,73.53,23.06,0.83,0.0
20220529:1730,231.49,291.53,11.23,73.74,22.73,0.76,0.0
20220529:1830,266.73,305.84,11.47,63.98,19.84,1.03,0.0
20220529:1930,216.9,162.92,6.85,51.18,21.6,0.48,0.0
20220529:2030,163.29,178.14,5.74,37.56,19.99,0.76,0.0
20220529:2130,45.32,84.37,2.24,23.67,19.48,0.62,0.0
20220529:2230,0.0,24.36,0.6,9.73,19.31,0.41,0.0
20220529:2330,0.0,0.0,0.0,-4.12,18.9,0.55,0.0
20220530:0030,0.0,0.0,0.0,0.0,18.43,0.21,0.0
20220530:0130,0.0,0.0,0.0,0.0,17.69,0.28,0.0
